,net
0,-0.0326
1,0.0175
2,0.0098999999999999
3,-0.0135
4,0.0005
5,-0.0039
6,-0.0102999999999999
7,-0.0098999999999999
8,-0.0074
9,0.0399999999999999
10,-0.0009
11,0.0082999999999999
12,-0.0135
13,-0.0230999999999999
14,0.0416
15,0.0082999999999999
16,0.0186999999999999
17,-0.0004
18,0.0055999999999999
19,0.0098999999999999
20,-0.0102999999999999
21,-0.0102999999999999
22,-9.9999999999989e-05
23,0.0399999999999999
24,0.0252999999999999
25,0.0021
26,-0.024
27,0.0399999999999999
28,-0.0141999999999999
29,0.0346
30,-9.9999999999989e-05
31,-0.0035999999999999
32,0.0111999999999999
33,-0.0146
34,-0.0098999999999999
35,0.0346
36,0.0346
37,-0.0009
38,-0.0146999999999999
39,-0.024
40,0.0075999999999999
41,-0.0348999999999999
42,0.0346
43,-0.0396
44,0.0095999999999999
45,-0.0004
46,-0.0102999999999999
47,-0.0089
48,-0.0039
49,0.0417
50,-0.0102999999999999
51,-0.0166999999999999
52,-0.0036999999999999
53,0.0252999999999999
54,0.011
55,-0.0326
56,0.0093999999999999
57,0.011
58,0.0172
59,-0.0078999999999999
60,-9.9999999999989e-05
61,-0.0166999999999999
62,0.011
63,-0.0135
64,0.0417
65,-0.0126
66,0.0175
67,0.0082999999999999
68,-9.9999999999989e-05
69,-0.0104
70,0.0399999999999999
71,-0.021
72,0.0493
73,-0.0002999999999999
74,0.0081999999999999
75,0.0015999999999999
76,0.0055999999999999
77,0.008
78,0.0346
79,-0.0141999999999999
80,-9.9999999999989e-05
81,0.0416
82,-0.0102999999999999
83,0.0134
84,-0.008
85,0.0101999999999999
86,-0.0146999999999999
87,0.0098999999999999
88,-0.0161999999999999
89,-0.024
90,0.0346
91,0.0493
92,-0.0098999999999999
93,-0.0036999999999999
94,0.0346
95,0.0021
96,0.0093999999999999
97,-0.0002999999999999
98,0.0082999999999999
99,0.0093999999999999
100,0.0346
101,0.0346
102,0.0493
103,-0.0166999999999999
104,-0.0102999999999999
105,-0.0396
106,0.011
107,-0.0032
108,0.0075
109,-0.0257
110,0.0417
111,-0.0035999999999999
112,-0.0102999999999999
113,-0.0211
114,-0.0135
115,0.0036
116,-0.0009
117,-0.0084
118,0.0
119,-0.0102999999999999
120,0.0081999999999999
121,0.0135
122,-0.0089
123,0.0045
124,0.0417
125,0.0346
126,-0.0035999999999999
127,0.0346
128,-0.0326
129,-0.0244999999999999
130,-0.0146
131,-0.0035999999999999
132,0.0493
133,0.0346
134,0.0055999999999999
135,-0.0146999999999999
136,-0.0103999999999999
137,0.0046999999999999
138,-0.0042999999999999
139,0.0346
140,0.0081999999999999
141,-9.9999999999989e-05
142,-0.0002999999999999
143,-0.0103999999999999
144,-0.0102999999999999
145,-0.0045
146,0.002
147,0.0105
148,0.0111999999999999
149,-0.0135
150,-0.0027999999999999
151,0.0346
152,-0.0042999999999999
153,0.0346
154,0.0416
155,-0.0078999999999999
156,0.0346
157,-9.9999999999989e-05
158,-0.0039
159,-0.0193999999999999
160,0.0050999999999999
161,0.014
162,0.0082999999999999
163,-0.0089
164,-0.0396
165,0.0346
166,0.0346
167,-0.0009
168,-0.0396
169,-9.9999999999989e-05
170,0.0175
171,0.0346
172,-0.0045
173,-0.0146999999999999
174,-0.0042999999999999
175,-0.0326
176,0.0081999999999999
177,0.0057999999999999
178,-0.0135
179,0.0417
180,0.0346
181,-0.0009
182,-0.0104
183,0.0346
184,-0.0045
185,0.0399999999999999
186,0.014
187,0.0166
188,0.0045
189,0.0030999999999999
190,-0.0035999999999999
191,0.0346
192,-0.0211
193,0.0252999999999999
194,0.0041999999999999
195,0.0093999999999999
196,0.0036999999999999
197,-0.015
198,0.002
199,-0.024
200,-0.007
201,0.0036
202,0.0222999999999999
203,-0.021
204,-0.0211
205,-0.0257
206,-0.0326
207,0.0252999999999999
208,-0.024
209,0.0346
210,-0.0135
211,0.0346
212,-0.0262
213,0.0005
214,0.0346
215,-9.9999999999989e-05
216,-0.007
217,-0.0166999999999999
218,0.0105
219,-0.0326
220,0.0093999999999999
221,-0.0166999999999999
222,0.0346
223,0.0252999999999999
224,0.0036
225,-0.0112999999999999
226,0.014
227,0.0346
228,0.0197999999999999
229,-0.0104
230,-9.9999999999989e-05
231,0.0346
232,-0.0244999999999999
233,-0.0141999999999999
234,-0.0126
235,0.0041999999999999
236,0.0346
237,-0.0036999999999999
238,0.0013
239,-0.0135
240,-0.0146999999999999
241,-0.0002999999999999
242,0.0075
243,0.0493
244,-0.0103999999999999
245,0.0172
246,-0.0084
247,-0.0135
248,0.0346
249,0.0175
250,0.0493
251,-0.0089
252,-0.0244999999999999
253,-0.015
254,-0.0145
255,-9.9999999999989e-05
256,0.0005
257,0.0101999999999999
258,0.0186999999999999
259,-0.0135
260,-0.0326
261,0.0416
262,-0.0032
263,-0.0032
264,0.0030999999999999
265,0.0134
266,0.0166
267,0.0141999999999999
268,0.0346
